,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
7192,74,5,1,2,0,4912,0,0,1,21,10,129,3,-1,0,3,no
653,40,0,1,1,0,341,0,0,0,31,5,1142,5,-1,0,3,yes
8432,41,4,0,2,0,647,1,0,2,16,8,270,1,-1,0,3,no
1113,26,7,2,1,0,110,0,0,0,30,4,1136,2,-1,0,3,yes
819,33,6,2,2,0,61,0,0,0,19,1,836,3,-1,0,3,yes
2634,32,0,1,1,0,995,0,0,0,3,11,331,1,99,2,1,yes
5860,42,7,1,1,0,508,1,0,2,30,8,70,1,-1,0,3,no
4973,34,0,0,1,0,1085,0,0,0,11,7,101,7,-1,0,3,yes
2093,59,0,1,1,0,106,0,0,0,22,8,186,1,-1,0,3,yes
1444,29,0,1,2,0,332,0,0,0,9,0,179,1,-1,0,3,yes
6470,38,0,0,1,0,-51,0,1,0,30,4,102,1,-1,0,3,no
5034,32,1,1,1,0,10287,1,0,0,27,8,281,4,188,1,0,yes
4247,28,4,2,2,0,3611,0,0,0,26,3,141,2,-1,0,3,yes
5789,59,5,0,1,0,93,0,0,2,26,8,193,2,-1,0,3,no
5672,33,9,2,2,0,1257,1,0,0,22,5,66,1,-1,0,3,no
9554,31,1,1,0,0,1127,1,0,1,13,8,43,1,349,1,0,no
4732,37,4,1,2,0,156,0,0,0,19,9,366,3,-1,0,3,yes
3105,38,3,0,1,0,70,0,0,0,27,4,164,4,92,4,2,yes
8890,36,1,1,1,0,2103,0,1,2,26,6,71,1,-1,0,3,no
3045,39,9,2,2,0,25,1,0,0,28,2,315,1,210,2,2,yes
4208,49,2,1,0,0,6188,0,0,0,18,9,453,1,-1,0,3,yes
10942,30,1,2,1,0,1165,1,0,0,18,8,365,2,-1,0,3,no
9839,35,9,1,2,0,944,0,0,0,8,1,351,2,-1,0,3,no
3211,34,4,2,2,0,13014,0,0,0,12,3,637,1,183,1,2,yes
9533,29,1,1,0,0,-382,1,0,0,28,5,35,2,-1,0,3,no
8797,33,0,1,2,0,99,1,1,0,18,9,55,2,-1,0,3,no
2535,25,4,2,2,0,528,0,0,0,14,1,201,1,-1,0,3,yes
7169,30,6,2,1,0,5223,0,0,0,14,10,404,2,-1,0,3,no
4232,42,7,0,1,0,257,1,0,0,12,8,955,2,-1,0,3,yes
3619,38,8,0,2,0,2946,0,0,0,16,6,605,3,-1,0,3,yes
3489,41,9,2,2,0,1646,1,0,0,5,8,258,1,90,7,2,yes
573,25,7,1,1,0,0,1,0,0,24,5,458,9,-1,0,3,yes
5877,38,7,1,0,0,175,0,0,2,17,6,132,2,-1,0,3,no
4468,43,7,1,1,0,-236,1,0,0,28,5,745,7,-1,0,3,yes
218,27,4,2,1,0,178,1,0,2,3,6,732,2,-1,0,3,yes
1426,67,5,1,1,0,1443,0,0,0,8,0,245,1,-1,0,3,yes
2879,52,0,2,1,0,2398,1,0,0,3,9,412,1,-1,0,3,yes
1828,42,1,1,0,0,1461,1,0,0,7,8,757,2,170,3,0,yes
8467,34,4,1,2,0,101,0,0,0,8,1,472,2,-1,0,3,no
5654,49,7,1,1,0,-301,1,0,0,12,8,187,4,-1,0,3,no
10331,51,4,1,2,0,385,0,0,0,11,1,39,2,-1,0,3,no
10144,43,0,2,1,0,386,0,0,0,12,10,242,1,92,4,2,no
4023,47,6,1,2,0,1011,0,0,0,6,10,808,1,-1,0,3,yes
1014,30,7,1,1,0,3929,1,0,0,20,9,593,1,-1,0,3,yes
4922,39,4,1,1,0,11835,1,0,0,11,1,744,2,-1,0,3,yes
7375,24,4,1,1,0,2278,1,0,2,27,8,77,4,-1,0,3,no
5783,35,9,2,1,0,2144,1,0,2,13,8,188,2,-1,0,3,no
10429,45,10,1,0,0,0,1,0,0,2,3,570,2,-1,0,3,no
6546,40,7,1,1,0,0,1,1,0,2,3,226,2,-1,0,3,no
5518,62,4,1,2,0,0,0,0,0,13,0,113,3,182,3,0,no
5638,57,1,1,3,0,3196,0,0,0,28,1,161,4,-1,0,3,no
3941,80,5,1,1,0,8304,0,0,1,8,11,606,3,91,13,2,yes
10491,46,0,0,1,0,1198,1,1,0,7,0,837,1,307,1,1,no
643,50,1,1,3,0,2284,1,0,1,31,5,1088,17,-1,0,3,yes
5990,48,0,2,1,0,479,1,1,2,18,6,533,3,-1,0,3,no
8112,58,6,1,1,0,0,1,0,1,3,3,702,3,264,9,0,no
3596,80,5,1,1,0,8304,0,0,1,9,6,712,1,64,12,0,yes
10194,39,7,1,1,0,207,0,0,2,6,6,78,2,-1,0,3,no
3444,73,5,1,0,0,796,0,0,0,23,0,888,1,182,3,2,yes
6534,42,1,1,1,0,165,1,0,2,23,8,333,2,-1,0,3,no
2990,44,0,2,1,0,733,1,0,0,4,2,360,2,105,5,2,yes
6963,46,1,1,0,0,1303,0,0,0,4,1,174,1,-1,0,3,no
8126,32,10,1,1,0,262,0,0,0,29,4,203,1,-1,0,3,no
9103,25,9,2,2,0,800,1,0,2,13,8,151,4,-1,0,3,no
3092,66,5,1,1,0,203,0,0,0,18,4,353,1,195,1,2,yes
688,35,4,0,2,0,146,0,0,0,6,1,720,2,-1,0,3,yes
1010,45,2,1,2,0,20138,1,0,0,20,9,871,5,-1,0,3,yes
4767,79,5,0,0,0,79,0,0,0,9,10,1106,2,-1,0,3,yes
5276,53,9,1,1,0,-725,1,0,2,27,8,1205,1,-1,0,3,yes
9938,32,9,1,1,0,465,1,0,0,12,8,210,2,-1,0,3,no
5613,57,10,1,1,0,1350,0,0,0,25,6,131,1,388,1,0,no
1679,34,7,1,1,0,1337,0,0,0,30,0,442,1,-1,0,3,yes
10829,30,7,1,1,0,292,1,1,0,15,0,651,4,-1,0,3,no
8439,33,4,2,2,0,0,0,0,2,27,8,277,1,-1,0,3,no
1573,32,9,2,1,0,1995,1,0,0,20,0,121,1,-1,0,3,yes
8722,46,9,0,1,0,111,1,0,0,19,9,178,3,183,2,1,no
4049,42,10,1,1,0,1289,0,0,0,15,10,1176,3,92,6,2,yes
6345,33,1,1,1,0,3576,1,0,0,2,0,124,1,308,2,1,no
11030,34,9,2,1,0,18777,1,0,0,18,9,535,1,-1,0,3,no
6277,33,1,1,0,0,-306,1,1,2,13,8,851,4,-1,0,3,no
3670,39,4,0,2,0,224,0,0,0,2,5,194,2,88,1,2,yes
5299,29,6,2,1,0,970,1,0,0,13,8,240,1,-1,0,3,no
4579,48,4,2,2,0,334,1,0,0,28,11,600,2,92,12,2,yes
10456,45,1,1,0,0,900,1,0,2,9,6,213,1,-1,0,3,no
14,31,9,2,2,0,703,1,0,2,8,8,943,2,-1,0,3,yes
941,57,1,1,3,0,3585,0,0,1,14,9,172,1,-1,0,3,yes
1969,32,0,1,1,0,684,1,0,0,14,8,607,3,-1,0,3,yes
10207,45,1,1,0,0,0,1,0,0,24,5,137,1,-1,0,3,no
10030,34,1,1,0,0,503,1,0,2,26,8,120,2,-1,0,3,no
3931,28,4,2,2,0,890,1,0,0,7,11,201,1,-1,0,3,yes
954,49,9,2,1,0,-188,1,1,0,17,9,454,1,-1,0,3,yes
9451,56,9,2,0,0,145,1,0,1,6,3,124,2,9,2,1,no
4474,40,8,2,1,0,595,1,0,0,3,6,406,2,-1,0,3,yes
8880,34,1,1,1,0,467,1,0,0,13,8,195,2,357,2,0,no
8214,46,1,1,0,0,2499,1,0,2,16,8,42,3,-1,0,3,no
4651,32,4,0,2,0,874,0,0,0,12,1,1282,6,-1,0,3,yes
10720,48,4,2,2,0,399,0,1,0,7,1,126,1,-1,0,3,no
8164,31,4,2,2,0,0,1,1,0,14,8,117,3,352,3,0,no
5270,28,1,2,1,0,1705,0,0,0,17,2,412,2,-1,0,3,yes
9367,31,0,1,1,0,1130,1,0,0,23,5,236,5,-1,0,3,no
7177,31,9,0,1,0,10787,1,0,2,4,6,135,2,-1,0,3,no
2955,75,5,1,2,0,6027,0,0,0,16,9,1248,2,94,2,0,yes
9576,37,1,1,1,0,288,1,0,0,5,8,159,6,-1,0,3,no
4036,30,4,2,2,0,502,0,0,0,11,10,463,3,95,6,2,yes
3249,82,5,1,1,0,121,0,0,1,19,3,330,1,-1,0,3,yes
8053,56,5,1,0,0,63,0,0,0,19,1,122,2,-1,0,3,no
1961,55,1,0,0,0,8180,0,0,0,14,8,854,2,360,1,0,yes
5076,51,0,1,1,0,241,0,0,0,7,2,308,2,-1,0,3,yes
5564,34,9,2,1,0,4943,1,1,0,19,9,117,2,-1,0,3,no
293,48,4,0,2,0,503,0,1,2,12,6,1243,7,-1,0,3,yes
4760,62,5,1,0,0,1084,0,0,0,14,0,505,1,-1,0,3,yes
5993,53,5,1,0,0,136,1,0,2,6,8,267,2,-1,0,3,no
1352,60,9,1,1,0,1740,0,0,0,13,7,296,2,-1,0,3,yes
259,37,7,0,1,0,319,1,0,2,6,6,467,3,-1,0,3,yes
1834,44,1,1,0,0,4031,1,0,0,7,8,983,4,-1,0,3,yes
5210,30,1,2,1,0,49,0,0,0,30,4,808,2,-1,0,3,yes
7570,32,4,1,2,0,128,1,0,0,28,5,320,3,-1,0,3,no
9698,39,9,2,1,0,300,0,0,0,10,11,315,6,394,1,0,no
2688,41,0,0,1,0,6046,1,1,1,14,11,185,2,-1,0,3,yes
9560,46,1,1,1,0,4707,1,0,2,23,8,93,8,-1,0,3,no
10056,44,7,0,1,0,206,1,0,0,14,8,78,1,365,1,0,no
4861,19,8,2,3,0,779,0,0,0,1,0,184,4,-1,0,3,yes
8592,55,4,2,2,0,797,0,0,0,29,5,24,2,-1,0,3,no
174,38,4,0,2,0,4692,1,0,2,29,8,1363,2,-1,0,3,yes
268,58,6,0,2,0,1382,0,0,2,9,6,700,1,-1,0,3,yes
10572,33,0,1,1,0,177,1,0,0,11,8,100,1,-1,0,3,no
9077,50,0,0,1,1,2405,1,0,0,6,8,114,1,287,8,0,no
3186,58,9,1,1,0,589,1,0,0,10,3,511,3,183,6,2,yes
4254,36,9,2,1,0,1228,1,0,0,4,8,303,3,-1,0,3,yes
1083,46,4,1,1,0,149,0,0,0,21,9,1222,2,-1,0,3,yes
3675,46,4,0,2,0,558,0,0,0,6,5,319,1,-1,0,3,yes
1266,37,4,1,2,0,5355,0,0,1,17,3,466,4,-1,0,3,yes
3009,32,4,0,2,0,883,1,0,0,10,2,798,1,185,5,1,yes
11020,49,2,0,1,0,2908,0,0,2,6,6,322,1,-1,0,3,no
1425,60,0,0,1,0,12039,0,0,1,8,0,236,1,-1,0,3,yes
6147,54,4,1,2,0,0,1,0,0,24,5,140,2,-1,0,3,no
10104,52,1,0,0,0,2800,0,0,2,19,6,149,1,-1,0,3,no
8088,33,0,0,1,0,661,1,0,0,4,8,90,4,167,3,0,no
1598,41,11,2,3,0,942,0,0,0,22,0,219,1,-1,0,3,yes
10687,38,9,2,1,0,103,1,0,0,2,3,159,1,187,3,0,no
5810,34,9,1,1,0,1026,0,0,0,12,9,319,1,100,6,0,no
5300,34,7,2,1,0,258,1,0,2,4,6,131,2,-1,0,3,no
2700,26,4,2,2,0,362,0,0,0,15,11,925,1,104,2,2,yes
10951,57,4,1,1,0,0,0,0,0,28,4,132,1,-1,0,3,no
3855,53,10,1,1,0,94,0,0,0,10,1,493,1,181,14,2,yes
7607,55,1,1,3,0,23,0,0,0,30,4,143,1,2,3,1,no
7291,29,9,2,1,0,1395,1,0,2,26,8,61,1,-1,0,3,no
10479,37,4,2,2,0,427,1,0,2,20,8,121,1,-1,0,3,no
9521,33,1,1,1,0,58,0,0,2,16,8,144,2,-1,0,3,no
624,55,4,1,2,0,-375,0,0,0,30,5,814,2,-1,0,3,yes
935,59,3,1,2,0,0,0,0,1,13,9,494,1,-1,0,3,yes
1702,52,6,1,2,0,6657,0,0,1,30,0,917,1,-1,0,3,yes
6468,47,3,0,0,0,1405,0,0,2,12,6,127,1,-1,0,3,no
10959,39,4,2,2,0,139,0,0,0,22,1,109,2,-1,0,3,no
6331,35,9,1,1,0,249,0,0,0,21,1,205,8,-1,0,3,no
1323,30,8,2,2,0,2539,0,0,1,5,7,199,5,-1,0,3,yes
4752,29,4,2,2,0,224,1,0,0,24,0,65,2,81,3,0,yes
4283,42,4,1,2,0,1435,1,0,0,7,8,1148,1,-1,0,3,yes
9330,43,0,1,1,0,877,1,0,0,2,3,135,1,-1,0,3,no
9956,29,10,2,3,0,67,0,0,0,28,4,330,2,-1,0,3,no
3717,27,8,2,3,0,132,0,0,0,14,5,276,1,-1,0,3,yes
6374,29,0,1,1,0,-150,1,0,2,6,8,328,1,-1,0,3,no
1055,34,1,2,1,0,4536,1,0,0,21,9,963,1,-1,0,3,yes
9244,27,7,2,1,0,194,1,0,2,16,8,326,1,-1,0,3,no
4851,37,7,1,1,0,775,0,0,0,14,1,150,2,-1,0,3,yes
1235,48,4,2,2,0,5689,0,0,0,12,3,262,1,-1,0,3,yes
1383,46,0,1,1,0,-522,1,0,0,27,7,243,3,239,13,1,yes
8451,32,9,0,1,0,-262,1,0,1,28,1,85,24,-1,0,3,no
10949,38,0,1,0,0,-175,1,0,1,21,5,86,9,-1,0,3,no
10114,50,0,0,1,0,-194,1,0,0,13,0,238,2,-1,0,3,no
4268,45,4,1,2,0,160,0,0,0,30,0,619,1,-1,0,3,yes
2267,38,2,0,1,0,1190,1,0,0,4,6,81,2,391,3,0,yes
10324,37,4,1,1,0,80,0,0,0,27,1,155,3,-1,0,3,no
570,31,1,1,0,0,33,1,0,0,24,5,901,2,-1,0,3,yes
3061,34,10,2,1,0,15,0,0,0,12,4,377,1,-1,0,3,yes
6441,32,1,1,0,0,1518,1,0,1,6,3,35,3,-1,0,3,no
7001,56,0,1,1,0,33,0,1,0,19,9,111,1,-1,0,3,no
6198,30,0,2,1,0,186,1,0,0,13,8,390,1,-1,0,3,no
5123,51,3,0,1,0,9228,0,0,0,18,5,655,4,-1,0,3,yes
4352,43,4,2,2,0,2081,0,0,0,22,10,554,3,-1,0,3,yes
8888,46,1,1,1,0,2348,0,0,0,17,9,182,1,-1,0,3,no
9100,28,0,2,1,0,-126,0,1,0,8,5,360,4,-1,0,3,no
7254,31,1,2,1,0,2194,0,0,0,13,8,275,2,357,1,1,no
9452,50,4,0,2,0,2564,1,0,0,21,9,124,4,113,8,0,no
4432,62,5,1,1,0,1495,0,0,0,13,10,896,1,57,2,2,yes
8586,29,4,1,2,0,7832,1,0,2,27,8,304,2,-1,0,3,no
8412,31,7,2,1,0,8,0,0,0,7,5,340,3,-1,0,3,no
4947,52,5,0,2,0,-309,1,0,2,19,6,500,2,-1,0,3,yes
10596,42,1,1,0,0,0,1,1,0,7,8,209,2,-1,0,3,no
5870,34,7,2,1,0,4062,1,1,0,15,8,29,1,-1,0,3,no
9534,50,1,1,0,0,888,0,1,1,10,5,160,3,-1,0,3,no
5930,32,7,2,1,0,1659,1,0,2,30,8,120,6,-1,0,3,no
1261,38,0,1,1,0,755,1,0,0,17,3,120,1,-1,0,3,yes
7086,51,4,1,1,0,1573,0,0,0,28,1,72,18,-1,0,3,no
10091,53,9,0,1,0,392,1,0,0,28,4,70,1,245,1,0,no
9030,48,7,1,1,0,1573,0,0,0,5,1,165,1,-1,0,3,no
6462,23,7,1,1,0,1309,1,0,2,3,6,349,2,-1,0,3,no
9973,33,4,2,2,0,2667,1,0,0,18,8,57,1,180,3,0,no
6490,45,2,1,2,0,219,1,1,0,28,5,118,4,-1,0,3,no
2168,25,9,2,1,0,1199,0,0,0,1,6,287,1,-1,0,3,yes
5716,48,3,1,1,0,3570,0,0,0,5,6,58,2,-1,0,3,no
828,33,9,2,1,0,163,1,0,0,20,1,627,2,-1,0,3,yes
3042,33,4,1,2,0,1808,0,0,0,28,2,250,3,-1,0,3,yes
11096,31,8,2,1,0,0,0,0,0,22,11,173,1,-1,0,3,no
4417,46,1,1,1,0,668,1,0,2,15,8,1263,2,-1,0,3,yes
2089,20,1,2,1,0,76,1,0,0,18,8,639,2,-1,0,3,yes
9911,28,7,1,1,0,4,1,0,2,27,6,133,5,-1,0,3,no
1130,61,4,1,2,0,6016,0,0,0,2,3,670,3,-1,0,3,yes
370,39,9,2,1,0,506,1,0,0,7,5,718,2,-1,0,3,yes
4695,57,0,1,1,0,403,1,0,0,18,8,603,1,340,2,1,yes
9444,35,1,1,1,0,67,0,0,2,20,8,60,6,-1,0,3,no
3219,29,4,2,2,0,1026,0,0,0,12,3,138,2,92,2,2,yes
10896,46,4,1,2,0,699,0,0,0,2,3,241,1,-1,0,3,no
7162,47,7,1,1,0,1717,0,0,0,20,1,216,9,-1,0,3,no
3311,83,5,1,2,0,4761,0,0,1,8,7,659,1,-1,0,3,yes
4641,74,5,1,2,0,1843,0,0,0,15,11,251,2,184,3,2,yes
9767,60,5,0,0,0,-79,1,1,0,29,4,192,1,-1,0,3,no
5377,40,10,1,1,0,1289,0,0,0,26,8,260,2,-1,0,3,no
7856,29,1,1,0,0,59,1,1,0,29,5,665,4,-1,0,3,no
10673,38,1,2,0,0,1583,1,0,0,15,8,386,1,-1,0,3,no
5117,62,2,1,1,0,3904,0,0,1,29,4,403,2,-1,0,3,yes
7226,41,4,0,2,0,4567,1,1,0,16,5,106,1,-1,0,3,no
8681,50,10,1,1,0,297,1,0,0,31,5,29,10,-1,0,3,no
10290,42,1,1,0,0,2003,1,0,0,17,0,177,3,-1,0,3,no
4249,21,8,2,1,0,2488,0,0,0,30,6,258,6,169,3,2,yes
2546,35,4,2,2,0,431,0,0,0,17,1,343,2,397,1,0,yes
9274,30,1,1,1,0,0,1,0,2,26,8,30,1,-1,0,3,no
5175,54,5,0,2,0,0,0,0,2,13,8,618,1,-1,0,3,yes
312,60,4,1,2,0,3301,0,0,2,17,6,2621,3,-1,0,3,yes
2868,60,4,1,2,0,3401,0,0,0,30,10,294,1,270,1,0,yes
8268,36,4,1,2,0,3839,0,0,0,19,9,146,1,-1,0,3,no
5073,30,4,2,2,0,102,1,0,0,18,2,364,3,-1,0,3,yes
9549,35,1,1,1,0,975,1,0,0,16,5,102,1,-1,0,3,no
7786,43,9,0,1,0,0,1,0,0,5,8,150,2,342,2,0,no
2082,34,1,1,0,0,-1,1,0,0,18,8,1057,6,355,1,1,yes
10380,46,4,1,3,0,802,1,0,1,25,5,417,1,-1,0,3,no
2099,39,9,1,1,0,116,0,0,0,22,8,554,2,-1,0,3,yes
8463,42,0,1,1,0,214,1,0,2,28,8,21,24,-1,0,3,no
9153,41,6,1,3,0,1377,1,0,0,15,8,111,4,371,2,1,no
4957,25,9,2,1,0,325,0,0,0,22,10,716,3,-1,0,3,yes
4731,58,5,1,0,0,4158,0,0,0,13,1,455,2,-1,0,3,yes
7801,38,2,1,0,0,350,1,0,0,8,8,75,1,-1,0,3,no
10713,45,0,1,3,0,2033,0,0,0,28,8,48,4,-1,0,3,no
9852,31,0,2,1,0,-422,1,0,0,18,8,64,2,329,15,1,no
9506,47,6,1,0,0,574,1,0,0,20,9,137,5,-1,0,3,no
4977,60,1,1,0,0,631,0,0,0,12,1,429,2,-1,0,3,yes
2356,79,5,1,1,0,668,0,0,1,2,5,363,1,-1,0,3,yes
8703,29,1,1,1,0,5903,1,0,2,8,8,194,1,-1,0,3,no
4927,56,5,1,0,0,1947,0,0,0,2,7,225,2,123,5,0,yes
6913,48,1,1,0,0,51,0,1,1,9,5,76,1,-1,0,3,no
6626,32,4,1,2,0,937,0,0,0,26,8,61,1,190,1,0,no
32,26,1,2,1,0,82,1,0,2,9,8,654,1,-1,0,3,yes
10392,40,9,0,1,0,2394,0,0,2,9,6,75,4,-1,0,3,no
6180,44,4,0,2,0,3932,1,0,2,8,8,40,2,-1,0,3,no
6390,51,4,2,3,0,-461,1,0,2,28,8,33,2,-1,0,3,no
3818,45,0,1,1,0,205,0,0,0,4,1,180,1,92,3,2,yes
10363,33,1,1,1,0,1402,0,0,0,20,9,63,5,-1,0,3,no
7843,36,1,1,0,0,679,1,1,0,13,8,115,1,-1,0,3,no
2539,39,2,1,2,0,942,1,0,0,14,1,880,3,267,1,1,yes
2742,60,0,0,1,0,12039,0,0,1,12,10,261,1,187,1,2,yes
7089,47,0,1,3,0,989,0,0,2,19,6,116,1,-1,0,3,no
4536,46,9,1,1,0,57,0,0,2,28,8,796,1,-1,0,3,yes
3532,46,4,1,2,0,349,0,0,0,14,8,466,4,88,3,2,yes
9410,35,7,2,1,0,1239,1,0,0,5,8,60,2,347,1,0,no
4964,50,9,0,1,0,396,0,0,2,20,6,716,2,-1,0,3,yes
1289,31,4,2,2,0,924,0,0,0,27,3,172,1,-1,0,3,yes
6891,42,4,0,2,0,0,0,0,2,19,8,131,2,-1,0,3,no
9772,42,0,1,1,0,445,1,0,2,7,8,202,2,-1,0,3,no
6212,32,1,1,0,0,388,1,0,0,15,0,171,2,-1,0,3,no
8839,27,1,2,1,0,181,0,0,2,13,8,147,1,-1,0,3,no
10495,36,7,1,1,0,145,1,0,0,2,3,109,1,252,2,1,no
5687,54,3,1,0,0,3304,0,1,0,25,5,90,7,-1,0,3,no
5947,42,9,2,1,0,275,0,0,0,26,1,31,8,-1,0,3,no
5201,45,4,1,2,0,160,0,0,0,10,9,182,2,194,1,2,yes
4742,36,1,1,0,0,828,0,0,0,13,8,1512,1,345,8,0,yes
6871,42,4,1,2,0,2110,0,1,0,31,5,106,2,-1,0,3,no
10529,48,2,1,1,0,4037,0,0,2,6,6,23,1,-1,0,3,no
3965,28,4,2,2,0,1720,0,0,0,14,11,230,1,91,4,2,yes
3367,47,4,2,2,0,334,1,0,0,26,7,360,1,326,8,0,yes
9096,36,7,0,1,0,223,1,1,0,11,8,80,1,-1,0,3,no
1477,65,4,1,1,0,587,0,0,0,15,0,223,2,-1,0,3,yes
5187,57,0,2,1,0,3551,1,0,0,12,8,458,1,-1,0,3,yes
5051,36,4,1,2,0,926,0,0,0,14,0,216,1,-1,0,3,yes
1097,47,1,1,1,0,1125,1,0,0,29,4,1101,1,-1,0,3,yes
1427,32,4,2,2,0,1781,0,0,0,8,0,321,1,-1,0,3,yes
149,30,2,2,0,0,0,1,1,2,27,8,1051,1,-1,0,3,yes
6718,31,0,1,1,0,298,1,1,2,26,8,518,1,-1,0,3,no
5312,67,11,1,2,0,7687,0,0,1,30,10,70,3,-1,0,3,no
4617,21,8,2,1,0,71,0,0,0,13,4,169,2,-1,0,3,yes
934,47,1,1,1,0,1230,1,0,1,12,9,378,1,-1,0,3,yes
1872,40,7,1,1,0,-192,1,0,0,11,8,666,1,-1,0,3,yes
8077,21,8,2,1,0,357,0,0,0,2,11,115,3,-1,0,3,no
7969,50,2,1,2,0,2410,0,0,0,21,9,65,1,-1,0,3,no
1719,36,4,1,2,0,393,1,0,0,30,0,555,2,-1,0,3,yes
4915,32,1,2,1,0,799,0,1,0,23,5,2078,6,-1,0,3,yes
1413,44,1,2,1,0,712,1,1,0,6,0,740,3,-1,0,3,yes
7446,40,1,1,0,0,104,1,0,2,26,8,470,2,-1,0,3,no
9645,34,8,2,3,0,2321,0,0,0,9,9,600,2,99,5,0,no
2085,38,9,2,1,0,-242,1,0,0,18,8,1173,3,278,6,2,yes
9060,50,3,2,1,0,799,0,0,1,28,4,63,1,-1,0,3,no
5306,34,1,2,1,0,3723,1,0,2,27,8,47,5,-1,0,3,no
2114,26,8,2,3,0,689,0,0,0,25,8,678,2,-1,0,3,yes
9525,49,0,1,1,0,880,1,1,0,18,8,22,3,-1,0,3,no
7421,40,4,1,2,0,24450,0,0,0,25,1,73,2,-1,0,3,no
6933,36,4,1,2,0,23,0,0,0,26,1,133,11,-1,0,3,no
7534,53,1,1,1,0,3079,0,0,0,5,0,759,1,-1,0,3,no
5540,42,1,1,1,0,634,1,0,0,24,5,256,2,-1,0,3,no
8096,56,3,0,1,0,1866,0,1,0,1,10,760,1,-1,0,3,no
7769,54,4,1,2,0,-1415,1,1,0,17,9,135,1,-1,0,3,no
8509,33,1,1,1,0,215,0,0,0,15,0,166,1,-1,0,3,no
6259,33,9,1,2,0,2976,1,0,0,9,9,465,2,95,12,1,no
9608,55,0,1,0,0,319,0,0,0,21,9,124,3,-1,0,3,no
1387,27,4,2,2,0,831,0,0,0,30,7,1081,2,-1,0,3,yes
9594,37,1,1,0,0,178,1,1,2,9,6,72,1,-1,0,3,no
1913,40,1,1,3,0,87,1,0,0,13,8,477,3,-1,0,3,yes
2228,42,1,1,1,0,2913,0,0,0,3,6,705,1,195,1,0,yes
2420,47,9,1,1,0,1167,1,0,0,4,1,505,1,96,6,2,yes
9407,49,4,1,2,0,4594,0,0,0,11,1,157,3,-1,0,3,no
3853,40,1,1,1,0,1515,1,0,0,10,1,503,1,-1,0,3,yes
5867,31,10,1,1,0,20,0,0,1,18,9,52,1,-1,0,3,no
1839,29,9,2,2,0,0,1,0,0,7,8,347,2,337,6,0,yes
1780,63,4,1,3,0,2352,0,0,1,4,8,475,7,-1,0,3,yes
5288,31,0,2,1,0,131,1,0,0,15,6,151,1,-1,0,3,yes
8793,38,4,2,2,0,690,1,0,2,20,8,34,1,-1,0,3,no
357,30,9,1,2,0,526,1,1,2,26,6,677,3,-1,0,3,yes
5179,29,0,2,1,0,3528,0,0,0,8,10,137,1,-1,0,3,yes
8278,55,4,1,2,0,23189,1,0,2,14,8,77,1,-1,0,3,no
10997,35,4,1,2,0,1193,1,0,2,2,6,101,2,-1,0,3,no
3623,24,9,2,1,0,403,0,0,2,17,6,247,1,-1,0,3,yes
6833,32,9,1,1,0,11431,0,0,0,12,1,141,5,-1,0,3,no
10396,56,5,1,1,0,5879,0,0,2,20,6,237,3,-1,0,3,no
7947,33,4,1,2,0,403,1,0,2,26,8,114,2,-1,0,3,no
496,27,7,1,1,0,0,1,0,0,17,5,991,5,-1,0,3,yes
7654,37,1,1,1,0,13849,1,0,2,23,8,252,5,-1,0,3,no
745,47,1,1,1,0,2787,0,0,0,11,1,479,1,-1,0,3,yes
8065,46,4,1,2,0,125,1,0,1,12,8,81,5,-1,0,3,no
2828,28,9,2,3,0,0,1,0,0,27,10,96,1,267,1,0,yes
1773,32,6,0,2,0,3271,0,0,0,4,8,949,3,-1,0,3,yes
2364,39,0,0,1,0,19,1,0,0,2,5,503,2,147,5,2,yes
484,39,9,1,1,0,251,1,0,0,17,5,342,2,-1,0,3,yes
3024,34,7,1,1,0,1337,0,0,0,17,2,330,2,127,3,2,yes
7374,36,4,0,2,0,133,1,0,2,9,8,117,1,-1,0,3,no
707,32,4,2,2,0,4291,0,0,0,7,1,1321,9,-1,0,3,yes
2783,36,9,1,1,0,480,0,0,0,20,10,213,1,-1,0,3,yes
5887,48,2,0,2,0,0,1,1,2,20,6,139,1,-1,0,3,no
5071,35,9,2,2,0,13460,1,0,0,15,8,1068,3,-1,0,3,yes
8458,34,1,1,1,0,261,1,0,0,3,3,88,5,251,3,0,no
10639,31,10,2,3,0,167,0,0,0,20,9,316,1,-1,0,3,no
4070,34,9,2,1,0,1279,1,0,0,21,10,339,3,91,10,2,yes
6777,58,5,2,0,0,999,0,0,0,25,5,188,6,-1,0,3,no
3970,49,4,1,2,0,1093,1,1,0,15,11,316,1,246,4,2,yes
509,43,2,1,1,0,104,1,0,0,18,5,635,3,-1,0,3,yes
1826,32,4,1,2,0,2465,1,1,0,7,8,923,1,-1,0,3,yes
9778,35,9,1,1,0,6,1,0,0,11,8,204,2,348,2,0,no
5882,41,4,1,2,0,0,1,0,2,13,8,161,1,-1,0,3,no
1165,41,6,2,2,0,-94,1,0,0,4,3,1164,1,203,1,0,yes
2411,25,8,2,2,0,58,0,0,0,24,5,139,5,-1,0,3,yes
5309,43,7,0,1,0,130,1,0,2,8,8,193,1,-1,0,3,no
5572,35,4,2,2,0,1750,1,0,0,22,10,422,1,175,4,2,no
2559,25,9,2,2,0,3411,0,0,0,19,1,225,2,-1,0,3,yes
